id,task,status,blocker,verify,notes
P1-01,枚举 generate_handler 块内全部 command 注册,done,,"sed -n '43,286p' lib.rs | rg -o '^\s+[a-z_]+::[a-z_]+::([a-z_0-9]+),$' 得 234 条、零重复","踩坑两次：块以不带分号的 ] 结尾（按 ]; 搜索会扫到文件尾，把 commands::app::WindowPinState 类型引用误计）；最后一条 services::proxy::proxy_get_server_info 不在 commands:: 下会被前缀过滤漏掉。给出过 app=8 和 app=14 两个错误数字，实际 7"
P1-02,定义三分类判据,done,,判据写入 backend-boundary.md「划分标准」一节且可据此独立复现分类,口诀：远程模式下该 command 在后端那台机器上执行还有意义吗
P1-03,分类 195 条后端 command,done,P1-01;P1-02,command-classes/backend.txt 有 195 行,
P1-04,分类 18 条前端专属 command,done,P1-01;P1-02,command-classes/frontend.txt 有 18 行,app 7 + update 3 + tray 1 + pick_* 3 + clipboard 1 + open_workspace_path 1 + open_system_file_location 1 + open_chat_file_link 1
P1-05,分类 21 条待删除 command,done,P1-01;P1-02,command-classes/deleted.txt 有 21 行,连接管理 4 + chat 中继记账 15 + settings sync 1 + proxy_get_server_info 1
P1-06,裁定 gateway 模块里 8 条真实功能归后端,done,P1-03,"backend.txt 含 workspace_watch_set、provider_usage_query/test、gateway_tunnel_* 共 8 条",依据 gateway.rs:299 只调 workspace_watch.set_desired、gateway.rs:18 只调 provider_usage_service.query
P1-07,裁定隧道需重写而非搬运,done,P1-06,backend-boundary.md 有「隧道要重写，不是照搬」一节说明理由,后端就在工作机上且已有网络接口，slug 注册协议与跨中继分帧不需要；tunnel_rewrite.go 约 1000 行大部分蒸发
P1-08,裁定 open_chat_file_link 需拆分,done,P1-04,backend-boundary.md 记录拆分方案,chat_file_links.rs:431 的 if inside_workspace && !open_in_file_manager 分支：一半纯解析归后端、一半 OS 副作用归前端
P1-09,产出机器可读清单文件,done,P1-03;P1-04;P1-05,三个 txt 文件行数合计 234,
P1-10,产出可复现的 diff 校验命令,done,P1-09,按文档原文执行 diff 输出「分类完整」——已实测通过,行号 43;286 会随 lib.rs 变动，文档已注明如何重新定位块边界
P1-11,核验文档内全部行号引用,done,P1-01,"逐条 sed -n 打印 proxy.rs:97、runAgentConversationTurn.ts:1217、system.rs:1338、chat_file_links.rs:431、gateway.rs:299/18、git.rs:3369 —— 六处全部命中",
P1-12,记录 settings_save_remote 分类缺陷,done,,backend-boundary.md 有「已知分类缺陷」一节,阶段 2 实施时发现：RemoteSettingsPayload 混了 Gateway 连接字段与 enable_web_* 权限开关；apply_config 返回 Result 是命令不是事件。阶段 4 拆两半
P1-13,把分类 diff 加入 CI 门禁,todo,P1-10,CI 有一个 job 在新增未分类 command 时失败,建议在阶段 2 一并做，让「新 command 未分类」变成编译失败之外的第二道门禁
