id,task,status,blocker,verify,notes
P3-01,建 crates/core 包骨架,in_progress,P2-31,"pnpm -C crates/core build 产出单文件 JS；node dist/index.js 能启动并监听 loopback","⚠️ 框架搭建中但功能空壳：dist/index.js 仅 1389B，handleChatSend 直接 202+注释 TODO 无实现；tsc 237 错（缺导出：settings/subagents/StreamDebugLogger.enabled）；下游 P3-03~08 全阻塞"
P3-02,打包 Node runtime 进桌面产物,todo,P3-01,"卸载系统 Node 后桌面版仍能跑 chat","⏸️ 待 P3-01 产出真实 bundle；Dockerfile pnpm build 同步失败"
P3-03,迁入 lib/tools 到 core,todo,P3-01,"tools 相关测试（test/tools/ 16 个文件）全绿","⏸️ 编译依赖缺失（runAgentConversationTurn 等导出不足）；test/tools/ 无法测试"
P3-04,把工具层 invoke() 换成打后端 JSON API,todo,P3-03;P2-28,"每个工具调用都能在后端日志里看到对应的 HTTP 请求","⏸️ 下游编译阻塞"
P3-05,迁入 lib/chat + lib/providers + pages/chat/turns,todo,P3-04,"构建通过；test/chat/ 55 个文件全绿","⏸️ crates/core tsc 237 错（memoryTools 26/extractionEngine 23/runAgentConversationTurn 21/agentRunner 14…）；test/chat/ 无法编译"
P3-06,实现工具审批反向往返,todo,P3-05,"四种情形各有测试：已配策略自动裁决 / 多前端先到先得 / 超时选推荐项 / 无前端连接不阻塞","⏸️ 三方契约断裂：turns 传 {toolCallId,conversationId,signal}，签名期待 {conversationId,toolName,summary}；Rust routes.rs Option<String> 但收 boolean；事件丢 conversation_id；前端无订阅"
P3-07,实现引擎内存态快照接口,todo,P3-05,"turn 进行中调用快照接口，返回值包含正在生成的半条消息","⏸️ 需 runAgentConversationTurn 可运行；快照源必须 Node 内存态不能 SQLite"
P3-08,消灭 3 处浏览器 API 引用,todo,P3-05,"在迁入的代码里 rg window./document./localStorage/navigator. 无输出","⏸️ 下游编译阻塞"
P3-09,Rust 侧 spawn 并管理 Node 进程生命周期,todo,P3-01;P2-20,"后端启动时 Node 自动起；Node 崩溃后自动重启；后端退出时 Node 一并退出","⏸️ engine_proxy.rs 致命 bug：(1)chunked 响应头复制后 hyper 断连(HTTP 000)；(2)query string 丢失(只取 path)，conversation_live 必 400；P3-11/12 验收不可能通过"
P3-10,删除 WebView 内的旧执行路径,todo,P3-05;P3-06;P3-07,"rg chatRuntimeHost crates/frontend/src 无输出","⏸️ useSendChatTurn.ts 编译失败：useEffect 超出作用域(transcriptStore/setConversationErrorState 在 send() 里)；WS 事件不区分 conversationId"
P3-11,验收：关掉所有前端 chat 仍跑完,todo,P3-09;P3-10,"服务器模式起后端，发一个长任务，关掉浏览器，等任务结束后重开浏览器能看到完整结果","⏸️ P3-09 反向代理 bug 导致 curl HTTP 000；P3-10 编译失败；两者同时解决才能验收"
P3-12,验收：断线重连拉到含半条消息的快照,todo,P3-07;P3-11,"长任务跑到一半刷新前端，重连后看到的内容不回退","⏸️ query string 丢失导致必 400；chunked 处理错误导致连接断"
P3-13,验收：多前端审批先到先得,todo,P3-06;P3-11,"两个前端同时连，一个应答后另一个收到「已被应答」","⏸️ 审批契约无法端到端工作（见 P3-06）"
P3-14,验收：chat 四个边界场景,todo,P3-11,"冷启动首发 / 长挂起后发送 / 发送中断网重连 / 同一 client_request_id 重复提交 —— 全部正常","⏸️ 验收门禁阻塞"
P3-15,确认 Gateway chat 补丁已成死代码,todo,P3-11,"注释掉 chat.prepare wake ping / ChatRunLedger / 三层超时后，全部验收项仍通过","⏸️ 验收门禁阻塞；做完才能阶段 4 删除 gateway/chat.rs 等 3800 行"
