id,task,status,blocker,verify,notes
P6-01,删除 crates/agent-gateway 全部 Go,todo,P5-09,"find . -name '*.go' -not -path './target/*' 输出 0 行",13914 手写 + 17357 生成 + 10827 测试
P6-02,删除 proto/v2 与 buf 工具链,todo,P6-01,"find . -name '*.proto' -not -path '*/node_modules/*' 输出 0 行；cargo build 通过","决策 6 定了 JSON 协议。⚠️ src-tauri/build.rs 里有 prost-build 编译 proto/v2，删时要同步清理"
P6-03,移除 prost/protobufjs 依赖,todo,P6-02,"Cargo.toml 与 package.json 里无 prost/protobufjs；构建通过",
P6-04,Dockerfile 改为构建 agent-backend,todo,P5-09;P3-02,"docker build 成功；容器内 /healthz 返回 ok",需打包 Node runtime
P6-05,CI gateway job 换成 cargo test/clippy,todo,P6-01,"ci.yml 里无 go test/golangci-lint/buf；新 job 绿",
P6-06,CI 加编译期防线门禁,todo,P6-05,"故意给 agent-core 加 tauri 依赖后 CI 失败","cargo tree -p agent-core | grep tauri 命中则失败"
P6-07,CI 加 command 分类 diff 门禁,todo,P6-05,"新增一个未分类的 command 后 CI 失败",即阶段 1 的 P1-13
P6-08,Makefile 目标改名,todo,P6-04,"make dev-backend / backend-build / backend-docker-build 可用",原 dev-gateway / gateway-build / gateway-docker-*
P6-09,删除 docs/architecture/gateway.md,todo,P6-01,"文件不存在；其他文档无指向它的死链",
P6-10,重写 overview.md 与 protocols.md,todo,P6-01,"两份文档描述的是 JSON over HTTP+WS 的两语言架构",
P6-11,合并 webui.md 与 gui.md,todo,P5-06,"只剩一份前端文档",阶段 5 已合并前端代码
P6-12,重写 operations/deployment.md,todo,P6-04,"按新部署方式（headless 后端 + 可选 TLS/反代）重写",
P6-13,修 README 技术栈表的事实错误,todo,,"README 不再声称依赖 @openai/codex-sdk 与 claude-agent-sdk","现存事实错误，与迁移无关但顺手修：package.json 实际只有 @earendil-works/pi-ai 与 pi-agent-core"
P6-14,重画 README 架构图,todo,P6-10,"架构图反映两语言 + 前后端网络分层",第 254-270 行的三层结构作废
P6-15,修 README 定位表述,todo,P6-04,"「本地优先」与「秘钥仅保存在桌面端本地」改为准确表述","密钥现在在后端，后端可能在服务器上。NAT 穿透改述为网络问题（tailscale/frp/cloudflared）"
P6-16,发大版本并冻结旧镜像,todo,P6-04;P4-14,"新版本发布；旧 gateway tag 仍可拉；旧桌面端配旧网关仍可用",决策 15
P6-17,验收：Docker 后端 + 桌面端全功能,todo,P6-04,"Docker 跑后端，笔记本桌面端连过去，逐项过 history/settings/terminal/上传/git review/skills/memory/cron/chat（冷启动/长挂起/断网重连）",
P6-18,验收：浏览器连同一后端全功能,todo,P6-17,"浏览器端同样逐项通过",
P6-19,记录镜像体积与启动时间对比,todo,P6-04,"文档里有新旧对比数字","Node runtime 会让镜像变大，这是决策 3 的已知代价，记下来而不是假装没有"
